absolute_mean,absolute_std,absolute_min,absolute_max,absolute_skew,absolute_kurtosis,absolute_var,absolute_range,absolute_median,absolute_rms,person,activity
-0.9574941098190867,0.2866576948685446,-0.8768144290445234,-0.540355461978065,0.41268419677738655,-0.7650377205633813,-0.08022316490454426,0.09094991771496276,-0.9308050643378354,-0.9112760274725459,mukit,walking
-0.7010536616252541,0.5126125965828551,-0.5462608222369779,0.1576887359275852,2.111081280315318,1.1493089043039,0.027899644846457412,0.5181763963841711,-0.8442795536091245,-0.6049392968395192,mukit,walking
-0.675276850611224,-0.43319663076130266,-0.4327549859703927,-0.8440068753102932,-0.7925835808889026,-0.3593332590484976,-0.29563612622026464,-0.49409519329620305,-0.5637874588513656,-0.575622017107953,mukit,walking
-0.5637088928676482,-0.5101651630188981,-0.18513223664994802,-0.7809739340129538,-0.13934024714312332,-0.5519976433352431,-0.3070439770248546,-0.6034036792799642,-0.5033410474667818,-0.4514500281455107,mukit,walking
-0.3328255401544303,-0.2190116116221448,-0.0694572434794503,-0.29795957977821586,0.8229118487352063,-0.1446926185984897,-0.2520708800313074,-0.23101033755016054,-0.30565755926470806,-0.20706201768190055,mukit,walking
-0.7577360505503579,0.5354624874028344,-1.0113020045092271,-0.13767485486486478,0.35732160670706126,-0.47135006643839794,0.03991123266329137,0.5582243145599123,-0.7922958548972214,-0.6702899590906791,mukit,walking
-1.5084767806924695,-0.2758198350674072,-1.2500963301283874,-1.241416701173498,-0.47342385890660243,-0.45083093844971395,-0.26532023039262825,-0.3100772069958715,-1.3191834569848742,-1.6985030194628672,mukit,walking
-0.9616859815825479,-0.24311051640006642,-0.6876235113106045,-0.7596861420459762,0.34689766210241474,-0.33721346239082495,-0.2578408616763939,-0.24229556302033353,-0.8529705042109664,-0.9165288522207908,mukit,walking
-0.6230007141384648,-0.19221978227371672,-0.41916669229006503,-0.5776736805596959,0.08243694589221341,-0.5762837721352367,-0.24539770257548155,-0.25467182530885607,-0.5397967038680356,-0.5169034249938275,mukit,walking
-1.0896473034825618,0.20432317011833495,-0.8498884368344444,-0.6009045222863849,0.636780137044933,-0.7052224516941391,-0.11481037240192324,0.01613579185198734,-1.2679258781649467,-1.0812807947279828,mukit,walking
