absolute_mean,absolute_std,absolute_min,absolute_max,absolute_skew,absolute_kurtosis,absolute_var,absolute_range,absolute_median,absolute_rms,prediction
4.74522444796572,1.910818374150785,2.2860182556,8.66991322006,0.4601012286191566,-1.2110090935285047,3.6512268589922487,6.38389496446,4.40749850884,2.178353609487156,walking
5.70267795897888,2.286482635992605,3.5980426967700003,12.47903147614,1.8909588939214519,2.6320096465152334,5.228002844695691,8.88098877937,4.75148151176,2.3880280481976923,jumping
5.7989190098034795,0.7140151987397374,4.04856699398,7.01293484322,-0.5553071556340873,-0.3965641919270806,0.5098177040313466,2.9643678492400003,5.86658054137,2.4080944769264097,walking
6.21547237964244,0.5860501639640978,5.0314245172600005,7.3568957674,-0.004965754051658868,-0.783334711818839,0.34345479468234597,2.3254712501399997,6.10688583317,2.4930849122407444,walking
7.077505176132759,1.0701112891632185,5.4905585734199995,9.99262972262,0.80570791036173,0.03432329360420727,1.1451381711945654,4.502071149200001,6.8927784482700005,2.6603580917111063,walking
5.491046944171368,2.324472019285148,1.7522138063080002,10.867278453559999,0.4134596115668599,-0.6214360539019732,5.403170168439573,9.115064647251998,4.958143207659999,2.343298304563755,jumping
2.688059533262472,0.9756640381179976,0.8043978237480001,4.8443314404799995,-0.2864229594231341,-0.5802442486324675,0.9519203152767175,4.039933616731999,2.86349646081,1.6395302782390058,walking
4.72957355370972,1.0300453414634396,3.036949732378,7.4730599261399995,0.4046776952618842,-0.35215907115263034,1.0609934054705341,4.4361101937619996,4.71693055377,2.174758274776698,walking
5.994098712383839,1.114654393646496,4.1025012819599995,8.46627352488,0.1818760626940487,-0.8320887080330626,1.242454417275438,4.3637722429200005,5.96195601933,2.4482848511527084,walking
4.251813442970684,1.7739320387373068,2.392892176062,8.33950644682,0.6488965327343752,-1.0909309445562991,3.1468348780586974,5.946614270757999,3.067271460072,2.0619925904257475,walking
3.0730668467211397,0.3710034878252103,2.133604895396,3.8456021204399997,-0.28412602035941165,-0.2271496595410718,0.13764358797847098,1.7119972250439996,3.08403568344,1.7530164992723656,walking
3.645852617808896,0.3501120959698907,2.85546637621,4.39426218518,0.16233409792474546,-0.7563704384112961,0.12257847974442992,1.5387958089699998,3.6189265232,1.9094115894193415,walking
4.23680580554948,0.796509147824506,2.98174941998,5.83091545752,0.4061862847008342,-1.1838793196931159,0.6344268225681207,2.84916603754,3.9699562347860002,2.0583502630867954,walking
4.31899255859604,0.450950425601001,3.3800548165339994,5.156934455398,-0.2874797512301764,-0.984386925536791,0.20335628634972394,1.7768796388640005,4.364873343615,2.0782186022158595,walking
5.1782516503192,0.29696092463574725,4.474008188498001,5.88725710318,0.022605800083212713,-0.5085079093464944,0.08818579076051795,1.4132489146819989,5.17757652887,2.2755772125593103,walking
5.73374444061376,0.5574781940602768,4.336623210824,7.136216070164,0.05082665267558117,-0.2047327882045531,0.31078193685270755,2.7995928593399997,5.707003359187,2.3945238442357932,walking
5.25645265661352,0.5098985205305422,4.09672298084,6.66052254592,0.6739633620331195,0.6194543833765818,0.25999650123923573,2.56379956508,5.202300364779999,2.292695500194808,walking
4.97795355267536,0.3934813771443333,4.1450573891,6.06975874408,0.250548078283691,0.05115552398958689,0.15482759415940103,1.9247013549799998,4.95999465802,2.2311327958405704,walking
5.25027139371256,0.6832113508786268,4.054532541482001,7.221015874000001,0.6911817153950884,0.4371874517693235,0.46677774996939814,3.166483332518,5.15568519546,2.2913470696759495,walking
4.94524067844628,0.5282973467840292,3.92114346286,6.41024415738,0.4464572696687558,0.020996993856761126,0.27909808661904484,2.4891006945200003,4.91443821264,2.2237897109318316,walking
5.02201866888984,0.2940099000130334,4.447865545620001,5.73468924196,0.08296513478043521,-0.8293135201844706,0.0864418213056739,1.286823696339999,5.015300163080001,2.240986092971092,walking
4.956368536099279,0.3615062069906521,3.6962625262999995,5.51992273078,-1.2815700883377177,2.084328948968519,0.13068673769276823,1.8236602044800008,5.03639031438,2.226290308135774,walking
5.0450078060467805,0.4786896697850093,4.05459756798,6.0312006778,0.04411304426567224,-0.7693886654655442,0.2291437999588813,1.97660310982,5.001054111929999,2.2461094822040133,walking
5.368858413345261,0.3646121513775154,4.19202288252,6.364490287180001,-0.3250580265673529,1.8233430997358884,0.1329420209321402,2.1724674046600008,5.38656749474,2.317079716657427,walking
5.44912733863688,0.5259964552194856,4.31865610198,6.6815637536,0.0343553408523222,-0.401926815510401,0.2766722709034643,2.3629076516199996,5.47684786781,2.334336594974444,walking
5.67581867909968,0.42438180018335514,4.7073826323,6.70912799518,-0.10566206731644016,-0.3926242010995975,0.18009991232686517,2.0017453628800004,5.65768838606,2.3823976744237476,walking
6.07691470593968,0.5359238014527158,4.82163507718,7.229938539899999,-0.31448238161190367,-0.45507013015204123,0.28721432096352995,2.4083034627199993,6.13686028689,2.465139895815181,walking
5.4660891511608405,1.4111742736218624,3.3479353762199997,7.90633608818,-0.23569213436787118,-1.4342509678545972,1.9914128305321912,4.55840071196,6.059818546239999,2.33796688410269,walking
3.55109449682872,0.6065300319759361,2.221820653878,4.6714148525,-0.18111949256547322,-1.1406695867032497,0.36787867968873017,2.449594198622,3.63718584814,1.884434795058911,walking
3.34995732116716,0.438078626066885,2.5994095531559998,4.7266452406,1.0107361700167605,0.8314120083005894,0.19191288261664968,2.127235687444,3.270552361468,1.8302888627665197,walking
3.467806597198472,0.37746812951080483,2.681683899746,4.808860988579999,1.2190315441257351,1.7759026257145933,0.14248218879638572,2.1271770888339994,3.3810561422110004,1.8622047677950113,walking
