"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.430215417E-1,-1.496737518E0,3.532055054E0,8.757987671E0,9.561275236E0
6.530635417E-1,-1.397194519E0,3.521127777E0,8.824449463E0,9.603197471E0
6.631045417E-1,-1.299896851E0,3.593427429E0,8.897796936E0,9.683658546E0
6.731465417E-1,-1.297950897E0,3.796255646E0,8.858279114E0,9.724471313E0
6.831875417E-1,-1.331930237E0,4.078119507E0,8.836723938E0,9.823074204E0
6.932295417E-1,-1.305285645E0,4.362228699E0,8.778195648E0,9.888858815E0
7.032715417E-1,-1.152453461E0,4.495751038E0,8.660390625E0,9.825593730E0
7.133125417E-1,-9.903405762E-1,4.485422516E0,8.623267822E0,9.770390859E0
7.233545417E-1,-8.631051636E-1,4.478237457E0,8.631500702E0,9.762293051E0
7.333955417E-1,-8.310717773E-1,4.520599365E0,8.717571716E0,9.855077653E0
7.434375417E-1,-9.364526367E-1,4.497547302E0,8.853788452E0,9.974690232E0
7.534785417E-1,-1.049617310E0,4.411176910E0,8.989256744E0,1.006811378E1
7.635205417E-1,-1.095122681E0,4.297563171E0,9.093140717E0,1.011699318E1
7.735625417E-1,-1.170266418E0,4.217479706E0,9.214538269E0,1.020119474E1
7.836035417E-1,-1.199156342E0,4.190386047E0,9.297914886E0,1.026881358E1
7.936455417E-1,-1.136885834E0,4.165687408E0,9.340426483E0,1.029023945E1
8.036865417E-1,-1.086590424E0,4.163591766E0,9.412127380E0,1.034912156E1
8.137285417E-1,-1.103056183E0,4.209246826E0,9.426497498E0,1.038235748E1
8.237695417E-1,-1.154249725E0,4.254003754E0,9.345515900E0,1.033283639E1
8.338115417E-1,-1.200802917E0,4.242926788E0,9.255253601E0,1.025202783E1
8.438535417E-1,-1.219364319E0,4.161645813E0,9.172775116E0,1.014622829E1
8.538945417E-1,-1.276096344E0,4.109105072E0,9.050030365E0,1.002078919E1
8.639365417E-1,-1.448088684E0,4.182901611E0,8.853938141E0,9.898780093E0
