absolute_mean,absolute_std,absolute_min,absolute_max,absolute_skew,absolute_kurtosis,absolute_var,absolute_range,absolute_median,absolute_rms,prediction
5.040212600000001,0.8051662220542504,3.46304,6.6854,0.007429068084243695,-0.8253229400676831,0.6482926451371145,3.2223599999999997,5.0647,2.2450417813484007,walking
3.7689741999999997,1.026399369271846,1.6912399999999999,5.538599999999999,-0.32712896164641286,-0.9161716157372726,1.0534956652416432,3.8473599999999992,3.9255199999999997,1.9413846089840106,walking
4.682653600000001,0.7124760781565446,3.3282800000000003,6.244400000000001,0.14674983860954072,-0.8160171044738016,0.5076221619453306,2.9161200000000003,4.63823,2.163943991881491,walking
4.297718559999999,0.9212635892658191,2.6043000000000003,6.1448,0.2814135044407187,-0.9121377682834901,0.8487266009069397,3.5404999999999998,4.11628,2.07309395831448,walking
4.42864504,0.7603347027117028,2.84698,6.1298,0.06688069028031504,-0.6062698524197541,0.5781088601476935,3.2828200000000005,4.35598,2.104434612906754,walking
4.317288319999999,0.9110121287149304,2.15626,6.1184,-0.28182874506881406,-0.6083545840925115,0.8299430986657089,3.96214,4.3957999999999995,2.0778085378590587,walking
4.62320268,0.7197164314301561,3.0356,6.004,0.025935511156885326,-0.8016560786323197,0.5179917416705586,2.9683999999999995,4.5955,2.1501634077436997,walking
4.3164652,0.8794795341991254,2.13482,5.980600000000001,-0.3037231546004433,-0.14159370530989124,0.7734842510751107,3.845780000000001,4.2927,2.0776104543441245,walking
4.3532158,0.7571162367122679,2.72356,6.1692,0.3186605594214173,-0.2534847192762988,0.573224995893347,3.44564,4.2923,2.0864361480764275,walking
4.35190668,0.7462086407100351,2.4568,5.811999999999999,-0.6095994724120837,0.01755589037020089,0.5568273354703183,3.3551999999999995,4.4561,2.0861224029284573,walking
4.34006564,0.7330410207154122,2.7237400000000003,5.9364,0.01855025957336739,-0.7417318713895908,0.5373491380514934,3.2126599999999996,4.28977,2.083282419644538,walking
